House_ID,Date_Sold,Year_Built,Bedrooms,Bathrooms,Living_Area,Lot_Size,Neighborhood,House_Style,Overall_Condition,Roof_Material,Exterior_Finish,Basement_Type,Heating_System,Cooling_System,Garage_Capacity,Garage_Type,Pool,Fireplaces,Kitchen_Quality,Utilities,Sale_Type,Sale_Condition,Zoning_Class,School_Rating,Distance_to_City_Center,Crime_Rate_Index,Tax_Annual,Renovation_Year,Property_Type,Price
8e9dfb7c-0ba8-434c-a02e-3ea55fb1dfd3,2021-06-12T00:00:00,1946,5,4.0,2273,2136,North_Heights,Victorian,10,Tile,Vinyl_Siding,Slab,Grav,Central,4,BuiltIn,N,0,Po,No_Seer,New,Abnorml,FV,2,17.4,0.49,6584.4,NaN,Townhouse,462730.0
21a62e2a-1016-4e0a-a870-c260a35daf83,1649134800,2009,4,2.5,1246,20400,Suburban_Oasis,Colonial,5,Metal,Stone,Full,Wall,Central,3,Detchd,0,2,Ex,No_Seer,New,Abnorml,RL,7,2.1,0.92,2045.8000000000002,NaN,Single_Family,299536.0
a89f69f9-3002-45cc-8eae-4959f62159b9,05/01/2020,1998,6,2.5,3409,5444,West_End,Modern,4,Metal,Stucco,Slab,Wall,Window,2,None,No,0,Fa,All_Pub,COD,Abnorml,RM,6,7.1,3.9,7594.200000000001,NaN,Condo,621546.0
4e3f845b-e286-48a1-b01a-5be536aa79e0,11/06/2022,1999,4,2.0,1444,5279,East_Gate,Split-Level,4,Shingle,Stucco,None,Wall,Window,3,Detchd,0,3,Fa,All_Pub,New,Partial,RM,10,22.3,1.04,2807.2,2006,Duplex,287782.0
d00fa2b4-6f26-4e95-8a1e-6823cc968119,22-12-2021,2020,1,2.5,4921,0.27 ac,East_Gate,Victorian,4,Metal,Stone,Full,GasA,Central,4,Detchd,N,0,Po,All_Pub,Con,Partial,RH,10,34.1,3.94,5342.8,NaN,Duplex,804050.0
e8716826-3a2c-4a8e-acdf-f2a5403a85a7,2023-06-24T00:00:00,1994,6+1,2.0,2703,0.66 ac,South_Side,Victorian,7,Shingle,Vinyl_Siding,Slab,GasA,Central,4,Attchd,No,2,Ex,ELO,Con,Abnorml,RL,2,30.5,1.5,3413.4,NaN,Condo,503249.0
4dc78dd4-a481-403b-ac65-967f6fc1f603,2022-05-05T00:00:00,1984,2,1.5,4570,31481,Downtown_Lofts,Modern,1,Metal,Wood,None,GasW,Window,1,Detchd,No,2,Gd,No_Sewr,Con,Normal,RM,8,11.3,0.83,4714.0,NaN,Duplex,794465.0
3b8b67c8-852e-4223-a68e-195251baf24e,10-11-2023,1924,5,3.5,1412,4622,Downtown_Lofts,Split-Level,Fair,Tile,Wood,Crawl,GasW,Central,2,BuiltIn,No,3,TA,All_Pub,COD,Abnorml,RM,10,4.1,2.72,5705.6,2018,Duplex,378212.0
072f0f1a-ee0c-44cf-b715-9178e247fb3f,1611554400,1988,1,1.5,3466,23915,West_End,Ranch,7,Metal,Vinyl_Siding,,GasW,Central,4,None,No,2,Gd,No_Seer,COD,Normal,RM,8,18.9,4.17,3804.8,NaN,Duplex,560333.0
e05bccee-b677-4251-a18d-509dacade71d,09/11/2023,2015,2,3.5,1635,0.36 ac,Green_Valley,Colonial,3,Metal,Stucco,,Grav,Window,3,None,No,1,Fa,All_Pub,WD,Normal,RM,7,2.2,1.11,6052.0,NaN,Single_Family,328350.0
04bd4473-1c4f-4ddd-8ec4-795062183203,12/07/2023,1935,1,1.5,4816,16011,West_End,Colonial,6,Tile,Stone,Full,Wall,Central,4,BuiltIn,No,0,Ex,ELO,WD,Partial,FV,2,21.1,2.33,8730.8,NaN,Single_Family,747494.0
